score_eko,score_geo,score_kmb,score_kpu,score_kua,score_mat,score_ppu,score_sej,score_sos
778,486,679,594,643,686,559,392,676
579,631,710,700,810,656,638,535,686
600,481,314,432,522,494,461,467,574
559,563,646,638,591,538,585,647,589
838,734,654,613,690,315,628,660,674
424,381,526,452,503,561,637,488,435
686,663,763,556,558,537,597,612,569
503,583,529,563,513,422,601,499,485
580,485,517,544,608,467,454,469,501
758,678,614,658,498,324,503,537,704
560,709,610,622,642,614,662,611,687
653,731,773,601,669,510,437,658,757
665,689,511,604,682,503,645,515,654
759,622,547,598,503,391,496,297,440
661,453,653,556,576,535,448,575,626
547,628,652,670,507,709,675,501,610
569,455,611,499,659,640,558,542,516
436,606,516,485,471,568,529,407,638
430,450,556,530,545,447,585,509,565
653,602,576,594,636,522,580,655,511
696,639,676,638,776,726,593,755,726
822,584,375,578,732,866,607,740,541
642,564,549,713,549,711,545,595,380
680,487,871,643,744,677,323,436,588
681,642,707,620,564,518,652,570,407
614,560,590,606,658,670,593,497,537
413,345,439,435,563,592,340,510,460
516,457,542,486,530,387,557,490,525
513,525,544,471,490,566,523,402,501
619,459,460,596,462,324,610,450,724
597,543,519,617,541,629,588,588,554
399,621,543,424,535,635,447,590,360
614,628,399,641,650,507,398,496,656
613,498,494,377,452,436,665,492,696
482,567,759,464,591,592,484,536,601
367,655,618,531,572,426,535,643,599
729,708,506,550,571,748,596,454,647
600,592,632,646,575,844,496,561,421
614,556,673,642,481,689,566,597,577
469,391,381,445,632,465,459,455,517
704,688,570,558,458,429,485,536,577
484,519,558,492,492,474,508,555,541
524,694,436,615,630,622,511,499,747
600,399,466,575,636,563,537,561,551
479,635,535,507,448,567,477,480,774
619,607,871,642,563,422,580,491,405
537,627,469,553,538,418,611,510,381
443,651,513,393,464,420,476,583,521
734,676,508,601,501,545,495,623,778
540,676,627,499,445,569,471,573,601
713,637,572,505,493,446,648,570,812
762,639,665,646,536,697,620,621,618
601,555,667,630,765,658,659,581,598
637,611,633,683,538,622,640,591,784
663,527,528,446,504,455,551,756,571
634,462,595,631,548,752,583,522,556
560,472,516,515,489,466,551,547,446
649,667,595,597,712,693,603,604,576
583,638,470,572,414,493,429,756,713
